subdomain,domain,tld,path_rest,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,country_code
cn,huaruisolar.com.cn,cn,js/?us.battle.net/login/en/?ref=kkeolnaus.battle.net/d3/en/index&amp;app=com-d3,98,79,0,3.503258334775645,200.0,2023,,2024,
com,capsoftnm.com,com,login/5eed3c0a4b484001987e87ba19baa86f/information.htm?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcd8,163,149,0,3.238901256602631,,,,,
com,jundajx.com,com,Images/?amp;app=com-d3&amp;amp;amp;us.battle.net/login/en/?ref=us.battle.net/d3/en/index,100,88,0,3.2776134368191165,789.0,2021,2023,2023,CN
com,mc121mailnyahoverimcwe.3owl.com,com,siasia1.html,44,12,0,3.937751955408586,5752.0,2007,2022,2023,US
tk,us.battle.net.login.batnikta.tk,tk,login.asp?ref,45,13,0,3.4500288754484654,,,,,
com,tinyurl.com,com,a5fel75,19,7,0,3.459431618637298,7847.0,2002,2022,2029,US
com,odegbe-godwin.4ove.com,com,,23,0,0,3.6069367321753205,4593.0,2010,2022,2023,US
br,cadastroprogramafaturazero.net.br,br,ID/copa-1/,44,10,0,3.6950206341166107,,,,,
it,paypai-serv-webapps-memb-id.49556345748546337.studiodalsass.it,it,id-3489573475/,77,14,0,4.403567834783364,,,,,
com,www.jamphotoblog.com,com,.paypal-verification/new1/0cdf2e98a9e2bef584024953e2157fcf/0704ef9c5b07401529313be3d1b616c1/,113,92,0,3.484183719779189,4309.0,2011,2022,2023,US
br,gopromosecurity2012.com.br,br,go/vaidevisa/asp/conta/autentica/autentica.php,73,46,0,3.902174814211728,,,,,
br,wahler.com.br,br,Cielo2012/faleconosco.html,40,26,0,3.3927474104487847,9125.0,1998,2020,2027,
br,wahler.com.br,br,Cielo2012/ganhadores.html,39,25,0,3.3927474104487847,9125.0,1998,2020,2027,
org,paypal.com.ca.cgi.bin.webscr.cmd.koe8dlltfckixtm5qwwr9sjbdtut5qqok4xxmlytgczuyr6zwqo88.sierraspf.org,org,5d80a13c0db1f8e263663d3faee8d0b7e678a25d883d0fa7/706c7d45d0cad03309d01016f725684a/HomePageSignOnNoFlash.php?Home.Version,221,120,0,4.706817660374168,,,,,
br,wahler.com.br,br,Cielo2012/index-2.html,36,22,0,3.3927474104487847,9125.0,1998,2020,2027,
br,wahler.com.br,br,Cielo2012/index.html,34,20,0,3.3927474104487847,9125.0,1998,2020,2027,
