tld,country_code,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,word_count,tld_in_path_rest,Label
com,-1,25,10,0,3.18,10228,1995,2023,2024,0,0,good
net,US,33,12,0,3.35,7851,2002,2021,2024,0,0,good
com,US,16,4,0,2.85,10220,1995,2017,2024,1,0,good
com,US,21,7,0,3.24,8610,1999,2022,2024,1,0,good
com,US,29,8,0,3.48,7580,2002,2021,2023,0,0,good
com,LT,25,9,0,3.19,7497,2003,2023,2025,0,0,good
com,US,31,7,0,3.88,7112,2004,2018,2028,0,0,good
com,US,41,19,0,3.59,10417,1995,2023,2024,0,0,good
com,US,73,48,0,3.8,9873,1996,2023,2033,0,0,good
com,US,39,17,0,3.59,10417,1995,2023,2024,0,0,good
com,US,40,23,0,3.45,9487,1997,2023,2024,0,0,good
com,US,21,8,0,2.86,9641,1997,2023,2028,0,0,good
com,IS,36,20,0,3.01,9528,1997,2022,2024,0,0,good
net,US,33,22,0,3.12,7334,2003,2023,2026,0,1,good
com,US,69,51,0,3.57,7237,2003,2021,2024,0,0,good
org,US,45,26,0,3.57,9950,1996,2023,2024,0,0,good
com,US,27,9,0,3.5,8912,1999,2023,2024,0,0,good
com,BG,21,7,0,2.72,8532,2000,2022,2024,0,0,good
com,CH,22,7,0,3.18,10228,1995,2023,2024,0,0,good
com,US,22,9,0,2.86,9795,1996,2023,2023,0,0,good
com,DK,35,15,0,3.79,8883,1999,2020,2029,0,0,good
com,GB,39,22,0,3.33,9506,1997,2023,2024,0,0,good
com,GB,40,23,0,3.33,7649,2002,2023,2024,0,0,good
com,FR,32,16,0,3.46,9308,1998,2022,2024,0,0,good
com,DE,28,11,0,3.33,6768,2005,2022,2023,0,0,good
com,DE,39,18,0,3.52,9486,1997,2023,2024,0,0,good
com,US,21,5,0,2.97,6698,2005,2023,2024,0,0,good
com,US,34,19,0,3.04,12302,1989,2023,2024,0,0,good
com,US,43,28,0,3.04,12302,1989,2023,2024,0,1,good
com,US,35,20,0,3.04,12302,1989,2023,2024,0,0,good
com,US,40,23,0,3.45,9487,1997,2023,2024,0,0,good
com,AU,33,12,0,3.58,9844,1996,2020,2024,0,0,good
com,US,40,13,0,3.64,8371,2000,2023,2023,0,1,good
com,FR,33,17,0,3.19,8742,1999,2023,2024,0,0,good
com,US,51,32,0,3.46,9751,1996,2021,2026,0,0,good
com,FI,62,45,0,3,10604,1994,2023,2024,0,0,good
com,US,39,17,0,3.78,864,2021,2021,2024,0,0,good
com,US,48,24,0,3.53,273,2022,1,2023,0,1,good
com,US,42,23,0,3.57,12302,1989,2023,2024,0,0,good
il,-1,36,20,1,3.19,-1,-1,-1,-1,0,1,good
net,US,37,21,0,3.32,8754,1999,2020,2024,0,0,good
org,US,18,10,0,2.81,7769,2002,2023,2024,0,0,good
org,US,47,30,0,3.45,8230,2001,2022,2024,0,0,good
org,US,37,20,0,3.45,8230,2001,2022,2024,0,0,good
